valid_from_dateeow,valid_to_dateeow,personid,age_hh,hh_child,hh_size,income,educat4,housetype,finergy_tp,lfase,business_x,huidigewaarde_klasse,business_y,aantaltegenrekeningenlaatsteq_business,aantalloginsapp_business,aantalloginsweb_business,activitystatus_business,accountoverlay,retail,aantaltegenrekeningenlaatsteq_retail,aantalloginsapp_retail,aantalloginsweb_retail,activitystatus_retail,joint,aantaltegenrekeningenlaatsteq_joint,aantalloginsapp_joint,aantalloginsweb_joint,activitystatus_joint,portofliocountstotal,birthyear,geslacht
2014-05-25,,f746b5e8fb026ab811f95eb93f37e682ab97f592,7.0,1.0,3.0,5.0,2.0,3.0,C06,5.0,1.0,7.0,,,,,,,,,,,,,,,,,1,,
2019-06-16,,eb90bf7e621769f2e0e40288fa106d69aae3400c,7.0,9.0,10.0,3.0,2.0,1.0,C09,7.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,2,1987.0,Man(nen) en vrouw(en)
2015-02-15,,cc5dcf685960cd8a637342de6eb8e2e3c3478b66,4.0,2.0,4.0,5.0,3.0,1.0,C09,3.0,1.0,5.0,,,,,,,,,,,,,,,,,2,,
2019-07-07,,510ec808e7a6bfd3cccccb3a3f650fc5716630b0,10.0,9.0,10.0,5.0,4.0,1.0,A03,8.0,1.0,9.0,,,,,,,,,,,,1.0,,,,,2,1984.0,Man(nen) en vrouw(en)
2019-05-05,,1625ed9efd31fc7828af9fe7ae0d22bd9dc40b90,3.0,1.0,3.0,5.0,4.0,2.0,B04,2.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,3,1983.0,Man(nen) en vrouw(en)
2019-05-05,,1625ed9efd31fc7828af9fe7ae0d22bd9dc40b90,3.0,1.0,3.0,5.0,4.0,2.0,B04,2.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,3,1983.0,Man
2015-12-06,,d98613e271cf43598258bd4419f5dfb399b311e1,8.0,1.0,3.0,5.0,4.0,1.0,D12,4.0,2.0,9.0,,,,,,,,,,,,1.0,,,,,2,1960.0,Man(nen) en vrouw(en)
2020-09-06,,583520478cfe3ee566252a7b54e6384481673c18,10.0,9.0,10.0,4.0,2.0,5.0,D13,8.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,2,1964.0,Man
2020-08-02,,6b2e9799b683aac6fe8c7c1b865f6b00cf2f0524,9.0,9.0,10.0,5.0,4.0,1.0,A02,7.0,1.0,10.0,,,,,,,,,,,,1.0,,,,,2,1964.0,Man(nen) en vrouw(en)
2018-12-09,,d90eaf43b048835dda3b1fa6a306571a186fa755,9.0,1.0,3.0,5.0,4.0,1.0,D10,5.0,2.0,9.0,,,,,,,1.0,,,,,,,,,,1,1960.0,Vrouw
2020-08-30,,c2f30fcb25a15d7412684c8428dfdcf75c299315,6.0,2.0,3.0,5.0,2.0,3.0,C08,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,2,1997.0,Man
2017-07-09,,2b56a6486681a43404409b3710c7cb5a017417e5,4.0,2.0,4.0,5.0,4.0,3.0,A02,3.0,1.0,9.0,,,,,,,1.0,,,,,,,,,,1,1981.0,Man
2017-04-23,,97df2b44276f750e2ea249b18073e584deaf934c,9.0,9.0,11.0,5.0,3.0,2.0,C09,7.0,2.0,4.0,,,,,,,,,,,,,,,,,2,,
2018-07-15,,9b21908896df86a3b7e8e8b595978aad09509ab7,4.0,2.0,4.0,4.0,3.0,4.0,F18,2.0,1.0,5.0,1.0,24.0,178.0,0.0,4.0,,1.0,43.0,575.0,0.0,4.0,,,,,,2,1983.0,Vrouw
2013-03-10,,e14d3d4917905ecb585ee96edbc7e95a7660ab78,8.0,9.0,11.0,5.0,4.0,4.0,A01,7.0,1.0,8.0,,,,,,,,,,,,1.0,,,,,2,1964.0,Man(nen) en vrouw(en)
2018-08-19,,1665acb050818fd4d6e76d689a41f7688bcbd7f6,8.0,9.0,10.0,4.0,2.0,4.0,C08,7.0,1.0,3.0,,,,,,,1.0,11.0,54.0,0.0,3.0,1.0,26.0,153.0,1.0,4.0,2,1991.0,Man
2018-08-19,,1665acb050818fd4d6e76d689a41f7688bcbd7f6,8.0,9.0,10.0,4.0,2.0,4.0,C08,7.0,1.0,3.0,,,,,,,1.0,11.0,54.0,0.0,3.0,1.0,26.0,153.0,1.0,4.0,2,1991.0,Man(nen) en vrouw(en)
2016-03-06,,f27a1c152de9d202b12343e9b7ea274deea31696,7.0,3.0,4.0,3.0,2.0,4.0,F18,5.0,1.0,2.0,,,,,,,,,,,,,,,,,2,,
2016-12-25,,5168b454bfdcebee05d01324228c45a569b3e9ff,10.0,9.0,11.0,5.0,4.0,1.0,E14,8.0,1.0,8.0,,,,,,,1.0,2.0,19.0,0.0,2.0,,,,,,1,1950.0,Man
2015-01-11,,4958c4162cdc7fc7b7d210165f9eec2182ee5fd5,12.0,9.0,11.0,5.0,4.0,1.0,D10,8.0,1.0,9.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,2.0,2,1942.0,Man(nen) en vrouw(en)
2020-05-17,,2eabedc1829b070513b6cfdd7e5f326f2ba7a261,1.0,9.0,10.0,1.0,2.0,4.0,I26,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,2,1973.0,Man
2014-06-22,,96b5c6ceb69fffcda595ee40994ee129bbdc3f77,6.0,9.0,10.0,5.0,4.0,2.0,C09,6.0,2.0,6.0,1.0,39.0,188.0,0.0,4.0,1.0,,,,,,,,,,,3,1961.0,Man(nen) en vrouw(en)
2018-09-16,,983224b5260a9a6ffa855d79c7eeb9abffd3f43b,4.0,9.0,10.0,5.0,4.0,1.0,A01,6.0,1.0,10.0,,,,,,,,,,,,,,,,,2,,
2016-02-14,,9039326c791f1b60dbc0e27b63569b9855f13fc2,4.0,2.0,4.0,5.0,4.0,3.0,B04,2.0,2.0,6.0,,,,,,,,,,,,,,,,,2,,
2017-07-16,,ae128cb56623af4a74f89b188b961cca3886d67f,9.0,9.0,11.0,3.0,2.0,2.0,C09,7.0,1.0,4.0,,,,,,,,,,,,1.0,1.0,4.0,0.0,2.0,2,1955.0,Man(nen) en vrouw(en)
2017-04-30,,29edf67a5e5b8be162623aac6d2b043f952a9836,2.0,1.0,2.0,3.0,3.0,3.0,F16,2.0,2.0,5.0,,,,,,,,,,,,,,,,,2,,
2016-01-03,,72498b2e6623c35697a724436a138a243f6edd8f,10.0,9.0,11.0,5.0,4.0,1.0,C07,8.0,1.0,7.0,,,,,,,,,,,,,,,,,2,,
2020-12-13,,7c1fd8e4ec4e20d21c71f9dfd2057cf698d9bf95,10.0,9.0,10.0,2.0,1.0,5.0,I25,8.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,1,1989.0,Man
2020-08-16,,3c3d43640b248748048dab71fcc435d376e2a38b,9.0,9.0,10.0,4.0,2.0,2.0,C09,7.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,2,1996.0,Vrouw
2019-03-10,,abe877b7b27cbc9987c6d50d979e903c6b5668eb,9.0,1.0,3.0,3.0,2.0,3.0,C09,5.0,1.0,3.0,,,,,,,,,,,,1.0,59.0,270.0,0.0,4.0,2,1988.0,Man(nen) en vrouw(en)
2020-01-12,,b616bb8fc54871d8938d094d8f1e288404eed2ac,2.0,1.0,3.0,1.0,2.0,5.0,H23,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1,,
2014-03-23,,de31b10054afc8e2633d8c99d04b28108e802854,,,,,,,Z99,,7.0,0.0,,,,,,,,,,,,,,,,,1,,
2015-02-01,,31f834043f0f69b068b103ed5d57684a49f46163,10.0,9.0,10.0,3.0,3.0,4.0,G20,8.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2018-05-20,,3d4b20baa19ab92d1491fbd7a240c227f5ebc3e4,6.0,1.0,2.0,2.0,2.0,1.0,J30,5.0,1.0,2.0,,,,,,,,,,,,1.0,15.0,102.0,0.0,3.0,2,1985.0,Man(nen) en vrouw(en)
2020-09-06,,18a813657f5c8cef11cc54d2818b9c631f8e0b21,4.0,9.0,11.0,3.0,4.0,4.0,H24,6.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,2,1996.0,Vrouw
2014-08-24,,cd22838c015f17e88fe4dbcf08b5f590fc6fbe78,7.0,2.0,4.0,5.0,3.0,1.0,E14,5.0,2.0,7.0,,,,,,,,,,,,,,,,,1,,
2015-10-25,,5ac2cd19ad6bffb7797d1b0117bfb9d9cf01b494,9.0,2.0,4.0,5.0,4.0,5.0,G22,4.0,1.0,9.0,1.0,,,,,,1.0,,,,,,,,,,2,1958.0,Man
2017-10-15,,065301f1fcbecdfd95f17480abfd3ee645ef973b,3.0,9.0,11.0,5.0,4.0,5.0,G22,1.0,2.0,8.0,1.0,43.0,279.0,4.0,4.0,,,,,,,,,,,,2,1981.0,Man(nen) en vrouw(en)
2018-06-17,,a9207a2ff201da5568101da356a700ce2ad6f5b4,6.0,3.0,5.0,5.0,3.0,3.0,C08,4.0,2.0,9.0,,,,,,,,,,,,,,,,,2,,
2017-12-17,,037b0376979c2fb965cbfdc4a2873d20415003dd,10.0,9.0,11.0,5.0,4.0,5.0,D13,8.0,1.0,7.0,1.0,1.0,0.0,9.0,2.0,,,,,,,,,,,,2,1961.0,Man(nen) en vrouw(en)
2020-12-06,,64034cca0425e1837908fa150cca3e302665cde9,7.0,2.0,4.0,2.0,2.0,5.0,F19,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,2,2001.0,Man
2019-02-03,,46c2bf0b14904c7d2aa712b8ba4870b3ece633d1,13.0,9.0,10.0,1.0,1.0,3.0,I26,8.0,1.0,3.0,,,,,,,,,,,,,,,,,2,,
2016-07-31,,a8ad035be2bdcb4d0f2d1c61ea8eedd4c2e9d2c3,9.0,1.0,2.0,5.0,4.0,1.0,A01,5.0,2.0,9.0,,,,,,,,,,,,,,,,,1,,
2018-05-06,,096ccce4bd3e8051c1251f0254bb24697fd53cc6,3.0,9.0,10.0,1.0,2.0,5.0,H23,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1,,
2020-09-06,,531e35c84b3f4b5f6d08e159166e7ee4a7f26612,5.0,9.0,10.0,2.0,2.0,4.0,I26,6.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,1,1972.0,Man
2020-01-05,,89ba9309a3490e28de11982687b7a1085fdb4df4,6.0,3.0,5.0,3.0,2.0,2.0,F16,4.0,2.0,4.0,1.0,10.0,145.0,0.0,4.0,,,,,,,,,,,,2,1977.0,Vrouw
2017-01-29,,4657a53d16f22bc7c0eaf1c33a4077f6b5acdf27,4.0,9.0,11.0,1.0,2.0,5.0,G21,6.0,1.0,3.0,,,,,,,,,,,,,,,,,1,,
2019-06-02,,6c88df2e358423f5f3280e06f69660226d3e2d79,,,,,,,Z99,,4.0,0.0,,,,,,,1.0,,,,,,,,,,1,1966.0,Man
2015-06-07,,077f5cb0a22c1b3327ddd5916e3ec69b9fc5ab7c,5.0,2.0,4.0,5.0,3.0,2.0,F17,3.0,2.0,5.0,1.0,14.0,4.0,0.0,4.0,,,,,,,,,,,,2,1975.0,Mannen
2019-11-10,,6c32d27ab1853fb7bccc2a59fea7c5b306320c2b,3.0,1.0,3.0,5.0,4.0,3.0,F17,2.0,2.0,5.0,,,,,,,1.0,,,,,,,,,,1,1985.0,Vrouw
2017-07-02,,1d09d2b444b5a930572ec0a2f6f08262237fdc66,5.0,2.0,4.0,5.0,4.0,1.0,C07,3.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,2,1984.0,Vrouw
2018-01-28,,ec960e3dded2bd6fb3a1d71d2ed0d124ee730357,5.0,3.0,5.0,5.0,3.0,4.0,B04,3.0,2.0,5.0,1.0,33.0,93.0,0.0,4.0,,,,,,,,,,,,2,1965.0,Man(nen) en vrouw(en)
2020-03-01,,5d545579630136ac0237214f4df332c9bf7dfd4a,5.0,9.0,11.0,5.0,4.0,1.0,E14,6.0,2.0,8.0,1.0,31.0,143.0,5.0,4.0,1.0,,,,,,,,,,,2,1978.0,Man
2017-11-12,,0bec24cb7c13a57fb16592dca49065932e26d295,7.0,2.0,4.0,5.0,3.0,1.0,C06,4.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,1,1998.0,Man
2020-10-25,,f324744b9885a17622eda2592fe3de93f8ca7374,5.0,3.0,5.0,2.0,2.0,3.0,I25,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,2,1989.0,Vrouw
2017-10-08,,f5ee108efddae06d7f39a37204aa0b51eafeaebd,6.0,2.0,4.0,4.0,2.0,3.0,C08,4.0,1.0,4.0,,,,,,,,,,,,1.0,61.0,158.0,6.0,4.0,2,1970.0,Man(nen) en vrouw(en)
2018-08-12,,4c200ac651799b42f4efdfb8da1c615c1375b2b3,3.0,9.0,10.0,3.0,3.0,3.0,D11,1.0,1.0,4.0,,,,,,,,,,,,,,,,,3,,
2019-04-14,,ac8255c28bc448b58ed677e71209aa5701f65d4d,3.0,9.0,11.0,3.0,3.0,2.0,E15,1.0,2.0,4.0,,,,,,,1.0,,,,,1.0,32.0,474.0,9.0,4.0,2,1987.0,Man(nen) en vrouw(en)
2019-04-14,,ac8255c28bc448b58ed677e71209aa5701f65d4d,3.0,9.0,11.0,3.0,3.0,2.0,E15,1.0,2.0,4.0,,,,,,,1.0,,,,,1.0,32.0,474.0,9.0,4.0,2,1987.0,Vrouw
2015-01-11,,861049adcd52e1b78f3db872838c2e3898599747,6.0,3.0,5.0,5.0,3.0,4.0,G22,4.0,1.0,9.0,,,,,,,,,,,,,,,,,1,,
2019-04-14,,65c0abee4df711f2d5a8d81508abb9365bd3772a,9.0,9.0,10.0,3.0,2.0,2.0,E15,7.0,1.0,4.0,1.0,6.0,36.0,0.0,3.0,,,,,,,,,,,,2,1986.0,Man
2020-03-08,,344debe4aa4ff50c7fb7c780356e1c2448c105bd,10.0,9.0,11.0,4.0,2.0,1.0,E15,8.0,1.0,6.0,1.0,13.0,122.0,0.0,4.0,,,,,,,,,,,,2,1965.0,Man(nen) en vrouw(en)
2020-02-02,,1235b886b4f0b12728ed95bb5a7d55f174a3dcc5,,,,,,,Z99,,5.0,0.0,1.0,,,,,,,,,,,,,,,,3,1976.0,Man
2018-09-30,,014c92275f4addb7efd38bc0763f335fca059c31,5.0,2.0,4.0,4.0,3.0,5.0,B04,4.0,1.0,5.0,,,,,,,,,,,,,,,,,2,,
2020-02-23,,867efb65f65692ec18dd26f78d2e87bd8f61fa9c,8.0,2.0,4.0,5.0,4.0,2.0,A01,5.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,2,1970.0,Man
2018-03-11,,072163702b86382c6e3c02277e11b1a14d1cbfc4,8.0,1.0,3.0,5.0,3.0,4.0,C06,5.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,2,1948.0,Man
2018-09-30,,f720bf344f34386c6b6f844061f98e048aa4cbfe,5.0,2.0,4.0,3.0,4.0,4.0,F17,3.0,1.0,5.0,,,,,,,1.0,3.0,17.0,1.0,3.0,,,,,,1,1971.0,Man
2017-01-08,,129573b14e8eb393e7bd670e3b7499fd4a571c6b,13.0,9.0,11.0,4.0,3.0,4.0,E15,8.0,1.0,4.0,,,,,,,,,,,,,,,,,2,,
2015-08-02,,146832aa6c0d82115b348610fbb3e7a8bc2bb24a,2.0,1.0,3.0,3.0,3.0,2.0,F17,2.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,2,1988.0,Man
2014-08-17,,0d7f37dc60b363561608fc640fec49ebe99f8239,1.0,9.0,11.0,2.0,4.0,5.0,G21,1.0,1.0,6.0,,,,,,,1.0,0.0,0.0,1.0,1.0,,,,,,1,1990.0,Man
2015-01-25,,ba806e6a63aa5822ffd8f8c8cfdd95c2b2e170d1,8.0,1.0,3.0,5.0,3.0,2.0,C08,5.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2014-12-28,,cfb3ba786852c449c4b22cac891be950e9eac7fe,8.0,1.0,3.0,5.0,2.0,1.0,C08,5.0,1.0,7.0,,,,,,,,,,,,,,,,,1,,
2018-01-07,,8fdd44d7bb7e10d27a54a19a19084e254a3a576a,10.0,9.0,11.0,5.0,2.0,3.0,D13,8.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2020-11-29,,4c526341d2be31c721ed50335ef9821ac8b26fc8,9.0,9.0,10.0,5.0,4.0,4.0,B05,7.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,1,1952.0,Man
2016-05-22,,08676a9d6c074cb7132c53b8f694c2c2942d5f08,8.0,1.0,3.0,3.0,2.0,2.0,C09,5.0,2.0,5.0,1.0,10.0,63.0,33.0,4.0,,,,,,,,,,,,2,1961.0,Vrouw
2016-02-14,,f2f41f73a8cbafb6b4c2d99ebf8d0c15fb3b0e5d,6.0,3.0,5.0,5.0,4.0,1.0,F16,5.0,2.0,6.0,,,,,,,,,,,,,,,,,2,,
2018-10-28,,2f17e1845e7c94e1510a04e0b336f568f6f2e6cb,4.0,9.0,10.0,2.0,2.0,4.0,F18,6.0,1.0,4.0,,,,,,,1.0,1.0,0.0,5.0,1.0,,,,,,1,1990.0,Man
2020-12-06,,f6ca5b966e1c80197e6b1c61a691fe49a15ea206,5.0,3.0,4.0,3.0,2.0,4.0,F16,4.0,1.0,5.0,1.0,6.0,,,,1.0,,,,,,,,,,,2,1968.0,Vrouw
2018-02-11,,19452565c0b23fe85de0acd73c80ed2e67bd4fa4,2.0,9.0,10.0,3.0,3.0,4.0,F17,1.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2020-10-25,,e6050036fb7101786404b30d8fffc111b7a4d617,8.0,1.0,3.0,5.0,3.0,1.0,A01,5.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,2,1960.0,Man
2016-05-22,,eb4b151b300e1ecf3a32a2f9f2c88cfb66acc93e,4.0,2.0,3.0,5.0,3.0,1.0,E15,3.0,1.0,5.0,,,,,,,,,,,,1.0,8.0,11.0,0.0,3.0,2,1954.0,Man(nen) en vrouw(en)
2017-02-05,,914c221c35c959f806c8932a596d2271773f41a4,7.0,9.0,11.0,5.0,2.0,4.0,B04,7.0,1.0,5.0,,,,,,,1.0,,,,,,,,,,1,1967.0,Man
2014-09-14,,af52e6cdab876a253f1942b5becfc280ac9959ef,9.0,9.0,11.0,5.0,3.0,3.0,B05,7.0,2.0,7.0,,,,,,,1.0,,,,,,,,,,1,1961.0,Man
2020-07-12,,edad292d654dfeb746fd3aef18a3e17630c858a1,7.0,9.0,10.0,1.0,2.0,5.0,F18,7.0,1.0,5.0,,,,,,,,,,,,,,,,,2,,
2014-12-14,,11885e6e637a0926794c384630d693592610fef7,11.0,9.0,11.0,3.0,3.0,1.0,E14,8.0,2.0,3.0,,,,,,,,,,,,1.0,0.0,0.0,6.0,1.0,2,1945.0,Man(nen) en vrouw(en)
2020-01-19,,195ab7ee0b5581f460e58022d35653ca4d8afbb3,6.0,9.0,11.0,5.0,4.0,4.0,B04,6.0,1.0,8.0,,,,,,,,,,,,1.0,,,,,2,1979.0,Man(nen) en vrouw(en)
2015-01-11,,38d5cf1080eb65e82ae316b8ef7e0fcea22b6621,10.0,9.0,11.0,5.0,3.0,2.0,A03,8.0,1.0,8.0,,,,,,,,,,,,1.0,1.0,20.0,8.0,2.0,2,1951.0,Man(nen) en vrouw(en)
2015-01-04,,14c69e7a96d47cdb43cbf14ef97f8dc221856189,6.0,9.0,11.0,5.0,3.0,2.0,A01,6.0,2.0,8.0,2.0,8.0,16.0,0.0,4.0,,,,,,,,,,,,3,1964.0,Man
2020-07-19,,a7dc4b74ff025062565771f0146861ab6df1f8a5,4.0,2.0,4.0,4.0,3.0,4.0,F17,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,2,1985.0,Vrouw
2019-06-30,,408c777420c6acd3980370cb8f07b18cbdd8065f,3.0,9.0,10.0,3.0,2.0,4.0,F16,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,2,1986.0,Man
2020-04-19,,378d8d962e3346b93edc4d5960b2f4d708351334,7.0,9.0,11.0,5.0,3.0,4.0,B05,7.0,2.0,5.0,,,,,,,1.0,,,,,,,,,,1,1961.0,Vrouw
2019-06-16,,0ae08e4e1452d64f4c038431eb525521b8f49b0f,8.0,2.0,4.0,5.0,2.0,3.0,B05,4.0,1.0,6.0,,,,,,,,,,,,,,,,,2,,
2018-02-18,,b0ae26c67d28805c150dd51905e9d8a280fe630c,5.0,2.0,4.0,4.0,3.0,4.0,B04,3.0,2.0,5.0,1.0,37.0,217.0,0.0,4.0,,,,,,,,,,,,2,1975.0,Vrouw
2015-03-29,,c362808e52b8ebcd65c4ee48a40ebf23bf7c5698,8.0,9.0,10.0,5.0,2.0,5.0,D11,7.0,1.0,6.0,,,,,,,,,,,,,,,,,1,,
2020-03-15,,fef07359a083737d70def51153d584873dd05fe0,11.0,1.0,3.0,4.0,3.0,1.0,C07,5.0,2.0,4.0,,,,,,,1.0,,,,,,,,,,1,1965.0,Vrouw
2014-08-31,,c1585885565b1eab945b59b0a6fa159a521a3cda,9.0,9.0,11.0,5.0,3.0,1.0,C07,7.0,1.0,9.0,,,,,,,,,,,,1.0,0.0,6.0,3.0,2.0,2,1956.0,Man(nen) en vrouw(en)
2014-12-28,,8d71512f6b5885174860c64ba01ea98c734c1217,8.0,2.0,4.0,5.0,4.0,5.0,C06,5.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,2,1963.0,Man
2016-11-06,,672a6749ce21eaf77aad4a7d5db5c7e4fcc8e530,7.0,9.0,10.0,3.0,2.0,2.0,C09,7.0,2.0,5.0,,,,,,,,,,,,,,,,,2,,
2018-01-14,,a1b5c9250a5d3c7df8ab99186f736c047accfbb6,10.0,9.0,11.0,3.0,2.0,4.0,E15,8.0,1.0,3.0,,,,,,,,,,,,1.0,48.0,79.0,0.0,4.0,2,1951.0,Man(nen) en vrouw(en)
2019-11-10,,6d7343ae4dd037af8cfc53389678fefe355850e4,4.0,2.0,4.0,5.0,4.0,3.0,C09,3.0,1.0,5.0,,,,,,,,,,,,1.0,25.0,143.0,0.0,4.0,2,1981.0,Man(nen) en vrouw(en)
2014-11-30,,707ad63aaf7b5d1752aef4c413aea0308364c46a,6.0,3.0,5.0,5.0,3.0,2.0,C07,4.0,1.0,9.0,,,,,,,1.0,,,,,,,,,,1,1970.0,Man
2018-08-05,,d2084615d936e15ac9523dc8c691b5ab8f171599,8.0,1.0,3.0,5.0,3.0,1.0,D10,5.0,1.0,7.0,,,,,,,,,,,,,,,,,2,,
2019-05-26,,34a59eb7993f3928480d99f4a8394de30afc9f86,6.0,2.0,4.0,3.0,2.0,5.0,H23,5.0,1.0,6.0,1.0,1.0,4.0,0.0,1.0,,,,,,,,,,,,2,1998.0,Vrouw
2014-11-30,,4e830b19c5d8e41a4c0b11e88ffa52e022584103,7.0,1.0,3.0,5.0,4.0,1.0,A02,5.0,1.0,10.0,2.0,,,,,,,,,,,,,,,,3,1969.0,Man
2017-04-23,,5860ebb55b20e3d11805905360da42cb905c09ef,7.0,9.0,10.0,2.0,2.0,5.0,G20,7.0,1.0,2.0,,,,,,,,,,,,,,,,,2,,
2018-07-08,,f4a4073578697133daf891eed3aad61e3a65faa8,3.0,2.0,4.0,5.0,4.0,2.0,B04,3.0,2.0,8.0,1.0,,,,,1.0,,,,,,,,,,,2,1983.0,Man
2014-07-27,,5372c87800481c99b656ec772e0d45269ee1ca64,10.0,9.0,11.0,5.0,3.0,2.0,B05,8.0,1.0,8.0,1.0,,,,,1.0,,,,,,,,,,,2,1951.0,Man
2019-06-09,,551d7cfe8d29480678caeabd095330075b3df8a6,11.0,9.0,11.0,5.0,4.0,2.0,B05,8.0,1.0,6.0,1.0,21.0,201.0,5.0,4.0,,,,,,,,,,,,2,1987.0,Man
2015-06-21,,4ccc39d2caa693145e28fa84f118e1835d3f0520,7.0,9.0,11.0,2.0,2.0,3.0,I26,7.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,2,1967.0,Vrouw
2019-03-10,,2df2402c007d04ea0c453be2abb96ae2f242fa54,4.0,2.0,4.0,4.0,3.0,4.0,F16,2.0,2.0,4.0,1.0,,,,,,,,,,,1.0,,,,,3,1980.0,Man(nen) en vrouw(en)
2017-07-02,,aae3b80f22713f8fc657fbbe648cecc97ff9f944,6.0,9.0,10.0,1.0,3.0,4.0,G21,6.0,1.0,4.0,,,,,,,,,,,,,,,,,1,,
2019-09-01,,3bac4f16fa131350a5634d982c6da6c6b2bd7d85,7.0,3.0,5.0,3.0,2.0,2.0,F16,5.0,2.0,5.0,1.0,16.0,25.0,1.0,4.0,1.0,1.0,33.0,72.0,0.0,4.0,,,,,,2,1990.0,Man
2017-06-25,,063ab13afe435154655add96ec2e9d089df4dc5b,8.0,1.0,2.0,1.0,3.0,5.0,G22,5.0,2.0,5.0,,,,,,,,,,,,,,,,,2,,
2016-12-04,,ee3002cc4c6e5804514154ece6bfdd633eb6cc0f,6.0,2.0,4.0,5.0,3.0,2.0,B04,3.0,1.0,7.0,,,,,,,,,,,,,,,,,2,,
2018-01-07,,50995e7fb8569e931113170f781771163f421fd2,4.0,1.0,2.0,2.0,2.0,4.0,J30,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,2,1981.0,Vrouw
2017-02-05,,2fa5220fad090b1d7270f8ae29613102f9f21b74,2.0,1.0,2.0,3.0,3.0,1.0,C09,2.0,1.0,5.0,1.0,53.0,118.0,1.0,4.0,,,,,,,,,,,,2,1987.0,Man
2020-09-20,,7697858fabaf503b1f0e22f256f3cd53d06bd799,5.0,9.0,10.0,5.0,4.0,4.0,B04,6.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,2,1977.0,Vrouw
2015-07-05,,2df4cb528ac0c769a89f8e8066535fab27718a3f,6.0,3.0,5.0,5.0,4.0,3.0,A02,4.0,1.0,10.0,,,,,,,1.0,,,,,,,,,,1,1972.0,Man
2015-04-19,,8e8e392ba927753f07bcad2964db8d49071c6bb0,4.0,2.0,4.0,3.0,3.0,1.0,F16,3.0,1.0,4.0,,,,,,,,,,,,,,,,,2,,
2015-05-31,,1e15ba769d433f04abac93838c7c004bbbd4a422,2.0,9.0,10.0,3.0,3.0,5.0,J27,1.0,1.0,6.0,,,,,,,1.0,,,,,1.0,31.0,131.0,1.0,4.0,2,1990.0,Man
2015-05-31,,1e15ba769d433f04abac93838c7c004bbbd4a422,2.0,9.0,10.0,3.0,3.0,5.0,J27,1.0,1.0,6.0,,,,,,,1.0,,,,,1.0,31.0,131.0,1.0,4.0,2,1988.0,Man(nen) en vrouw(en)
2018-12-30,,8292488b394caa9ce3b2d320924fb5371f15f31d,5.0,2.0,4.0,4.0,3.0,4.0,B04,3.0,1.0,5.0,1.0,17.0,54.0,0.0,4.0,,,,,,,,,,,,2,1978.0,Mannen
2018-06-17,,65c77851b1cf1c5aec72d3168ad372d46fb14495,6.0,9.0,11.0,5.0,4.0,1.0,A01,6.0,2.0,9.0,,,,,,,,,,,,,,,,,1,,
2017-01-01,,a0fe87fb60c72441b9f9ecd69c3cdafc91ad7c95,5.0,2.0,4.0,5.0,2.0,1.0,E14,3.0,1.0,7.0,,,,,,,,,,,,,,,,,2,,
2020-02-02,,b3fe0e737af139322952c5583e2d6968c5b67f0f,13.0,9.0,10.0,3.0,2.0,4.0,E15,8.0,1.0,5.0,1.0,18.0,20.0,2.0,4.0,,1.0,33.0,81.0,5.0,4.0,,,,,,2,1991.0,Man
2017-04-30,,dd9746eefcb3282aa232329aaca4962abe5ab89c,1.0,9.0,10.0,2.0,4.0,5.0,G20,1.0,2.0,3.0,,,,,,,,,,,,1.0,0.0,267.0,6.0,1.0,2,1991.0,Man(nen) en vrouw(en)
